City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
209,Tumaco,CO,77.02,light rain,1.8,-78.82,Hotel los mellizos
211,Kununurra,AU,80.6,overcast clouds,-15.77,128.73,Hotel Kununurra
213,Carutapera,BR,86.25,scattered clouds,-1.2,-46.02,Lidera
215,Basco,PH,79.43,light rain,20.45,121.97,Nathaniel's Lodge
216,Maldonado,UY,73.4,few clouds,-34.67,-54.92,La Cimarrona
217,Sambava,MG,75.58,light rain,-14.27,50.17,Melrose
218,Touros,BR,80.6,broken clouds,-5.2,-35.46,INN NEW HORIZON
225,Staunton,US,75.2,clear sky,38.15,-79.07,Hotel 24 South
229,Lorengau,PG,79.3,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
230,Rawson,AR,79.54,overcast clouds,-43.3,-65.1,Hotel Punta León
231,Sao Filipe,CV,80.78,clear sky,14.9,-24.5,Tortuga B&B
232,Nizwa,OM,72.45,broken clouds,22.93,57.53,Orient Apartments
233,Hambantota,LK,75.2,broken clouds,6.12,81.12,Bungalow 63
235,Nioro,GM,88.14,clear sky,13.35,-15.75,
238,Porto Novo,BJ,84.2,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
242,Meulaboh,ID,76.59,overcast clouds,4.14,96.13,Kost Pria
243,Avera,US,75.99,mist,33.19,-82.53,
247,Road Town,VG,82.4,light rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
248,Nanakuli,US,80.01,clear sky,21.39,-158.15,Camp Pālehua
249,Richards Bay,ZA,75.06,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
254,Umm Lajj,SA,75.6,clear sky,25.02,37.27,Moon light Furnished Units
257,Dhidhdhoo,MV,83.57,overcast clouds,6.88,73.1,Dhidhoo beach
258,Wanning,CN,74.1,broken clouds,18.8,110.4,Paradise Hotel
260,Puerto Carreno,CO,86.14,scattered clouds,6.19,-67.49,Casa Hotel Victoria
264,Acarau,BR,86.02,clear sky,-2.89,-40.12,castelo pizzaria
265,Pisco,PE,71.6,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
267,Langsa,ID,75.51,light rain,4.47,97.97,OYO 2964 Hotel Ridho
272,Pedernales,DO,77.0,moderate rain,18.04,-71.74,Hotel Costa Marina
273,Aswan,EG,70.21,clear sky,24.09,32.91,Nuba Nile
275,Bubaque,GW,84.78,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
276,Dimbokro,CI,79.11,broken clouds,6.65,-4.7,complexe hôtelier le jardin d'Eden
282,Los Algarrobos,PA,80.6,shower rain,8.5,-82.43,Waterfall Hostel
283,Poum,NC,74.88,broken clouds,-20.23,164.02,Gîte kajeon
286,Mweka,CD,72.01,moderate rain,-4.85,21.57,
293,Le Moule,GP,82.4,broken clouds,16.33,-61.35,Lakaz Hananou
294,Bengkulu,ID,75.74,light rain,-3.8,102.27,Grage Hotel Bengkulu
295,Koumac,NC,72.03,broken clouds,-20.57,164.28,Le Monitel
298,Kawalu,ID,71.24,clear sky,-7.38,108.21,KOSAN UNGU UNSIK
299,Panuco,MX,82.4,scattered clouds,22.05,-98.17,Hotel Plaza
305,Sturgis,US,73.4,clear sky,41.8,-85.42,Best Western Plus Howe Inn
309,Rantoul,US,77.0,broken clouds,40.31,-88.16,First Heritage Inn
311,Arlit,NE,77.74,clear sky,18.74,7.39,Hôtel Telwa Bungalow
316,Guider,CM,81.41,few clouds,9.93,13.95,Hotel Falaise
319,Bull Savanna,JM,76.96,moderate rain,17.89,-77.59,Big Red's
320,Pyu,MM,72.99,clear sky,18.48,96.43,Phyu Post Office
322,Eyl,SO,79.34,few clouds,7.98,49.82,Amiin Hotel
325,Honiara,SB,77.72,few clouds,-9.43,159.95,Heritage Park Hotel
326,Isangel,VU,75.7,light rain,-19.55,169.27,Volcano Sea View Tree House
327,Santa Isabel Do Rio Negro,BR,85.87,moderate rain,-0.41,-65.02,Hotel GSA
329,Palmer,US,75.2,few clouds,42.16,-72.33,Wedgewood Motel
337,Loandjili,CG,78.78,broken clouds,-4.76,11.86,Résidence ARCHANGE
339,Le Port,RE,71.6,clear sky,-20.94,55.29,Villa Maido
340,Savannah Bight,HN,82.4,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
341,Ingham,US,73.99,broken clouds,42.6,-84.38,Sunset Place
343,Cayenne,GF,87.8,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
345,Muli,MV,83.79,light rain,2.92,73.57,Medhufushi Island Resort
350,Namibe,AO,70.05,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
353,Rey Bouba,CM,80.02,few clouds,8.67,14.18,
354,Tamiahua,MX,80.11,overcast clouds,21.27,-97.45,Mission Of The Sun Hotel
355,Amapa,BR,89.78,overcast clouds,1.0,-52.0,
356,Kavaratti,IN,83.52,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
361,Dingle,PH,74.66,broken clouds,11.0,122.67,SEGAYA PROPERTY
362,Nishihara,JP,73.4,shower rain,26.18,127.76,Minshuku Agaihama
365,Sarangani,PH,83.01,overcast clouds,5.4,125.46,Ballistic Islet
367,Belmonte,BR,80.6,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
370,Vilhena,BR,89.6,scattered clouds,-12.74,-60.15,Hotel Mirage
373,Nieuw Amsterdam,SR,88.0,clear sky,5.88,-55.08,Hotel Stardust
375,Bay City,US,73.99,broken clouds,43.59,-83.89,DoubleTree by Hilton Hotel Bay City - Riverfront
376,Makakilo City,US,80.6,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
377,Kirakira,SB,79.03,broken clouds,-10.45,161.92,SanBiz Lodge
378,Jalu,LY,71.1,overcast clouds,29.03,21.55,Jalu Hotel
379,Ojinaga,MX,82.4,clear sky,29.57,-104.42,Suites Las Palmas
383,Bonthe,SL,79.57,broken clouds,7.53,-12.51,Bonthe Holiday Village
384,Sechura,PE,73.99,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
